Município;Ano;Produto Interno Bruto a preços correntes (Mil Reais);"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)";Valor adicionado bruto a preços correntes total (Mil Reais);Valor adicionado bruto a preços correntes da agropecuária (Mil Reais);Valor adicionado bruto a preços correntes da indústria (Mil Reais);"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";"Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";Estado
Faxinalzinho,2021,103166,3609,99556,59134,4169,17920,18333,RS
Fazenda Vilanova,2021,140822,11490,129333,40274,14592,41377,33090,RS
Feliz,2021,589352,75963,513390,22682,142280,269349,79079,RS
Flores da Cunha,2021,2538136,508224,2029912,132842,1041599,671373,184098,RS
Floriano Peixoto,2021,103058,4441,98617,60221,3994,18326,16077,RS
Fontoura Xavier,2021,227468,14823,212645,66321,9638,77011,59675,RS
Formigueiro,2021,302799,18419,284380,143622,24976,72394,43388,RS
Forquetinha,2021,58939,2235,56704,25693,4023,8957,18031,RS
Fortaleza dos Valos,2021,564771,34860,529911,326663,14527,150492,38228,RS
Frederico Westphalen,2021,1430606,174016,1256590,140905,239545,703066,173075,RS
Garibaldi,2021,2997963,584435,2413528,61666,1269430,883294,199137,RS
Garruchos,2021,200966,7732,193234,127993,4530,34145,26566,RS
Gaurama,2021,282771,27267,255504,86794,56106,77730,34873,RS
General Câmara,2021,276372,7993,268379,159707,10674,49265,48733,RS
Gentil,2021,190647,14180,176467,102371,4869,51921,17305,RS
Getúlio Vargas,2021,793661,74511,719150,170451,130786,319887,98026,RS
Giruá,2021,1202941,90728,1112213,541032,118633,343642,108906,RS
Glorinha,2021,461885,46473,415412,33555,231699,90693,59464,RS
Gramado,2021,2658018,340701,2317317,24733,344063,1625283,323236,RS
Gramado dos Loureiros,2021,94579,3042,91537,57395,3811,13272,17059,RS
Gramado Xavier,2021,109481,2598,106883,57595,3573,14484,31231,RS
Gravataí,2021,10261618,1655745,8605873,25205,3311020,3803166,1466482,RS
Guabiju,2021,132787,5345,127442,87150,4016,22320,13955,RS
Guaíba,2021,8284804,3035222,5249582,68927,1766358,2809353,604944,RS
Guaporé,2021,1149050,118495,1030556,106750,361091,412648,150067,RS
Guarani das Missões,2021,362623,32485,330138,134877,24643,126535,44083,RS
Harmonia,2021,245496,34489,211007,35724,62570,79980,32732,RS
Herveiras,2021,71142,2241,68901,31312,1842,12318,23429,RS
Horizontina,2021,2608192,616218,1991975,133348,1183862,536137,138627,RS
Hulha Negra,2021,314486,31038,283448,113252,65217,59011,45968,RS
Humaitá,2021,229248,22789,206458,91923,9765,75569,29201,RS
Ibarama,2021,112226,6042,106184,46539,9246,20266,30133,RS
Ibiaçá,2021,367294,20278,347016,203367,22580,86498,34571,RS
Ibiraiaras,2021,399691,48935,350756,170383,13933,121260,45179,RS
Ibirapuitã,2021,213521,9386,204135,128142,5443,42146,28404,RS
Ibirubá,2021,1722053,227405,1494647,453393,350982,563821,126451,RS
Igrejinha,2021,1888880,248159,1640721,6833,811506,606400,215982,RS
Ijuí,2021,5190378,632788,4557590,461043,1147433,2332807,616308,RS
Ilópolis,2021,140569,10683,129886,47224,16023,39699,26940,RS
Imbé,2021,626814,47762,579051,2210,55541,328749,192552,RS
Imigrante,2021,519189,63541,455647,37061,321419,73120,24047,RS
Independência,2021,494164,71225,422939,204431,52110,121348,45051,RS
Inhacorá,2021,110556,4545,106010,63724,3602,19696,18988,RS
Ipê,2021,298581,16171,282410,157806,23865,59626,41113,RS
Ipiranga do Sul,2021,177628,7610,170018,105825,7494,38424,18275,RS
Iraí,2021,254491,23499,230992,77564,18100,93988,41341,RS
Itaara,2021,286658,15716,270941,26282,22621,184611,37426,RS
Itacurubi,2021,246285,4190,242096,180541,5758,28861,26936,RS
Itapuca,2021,94234,1602,92632,62473,3105,9409,17644,RS
Itaqui,2021,2186921,188264,1998657,915962,294873,559322,228499,RS
Itati,2021,86738,3327,83411,42314,3417,17029,20650,RS
Itatiba do Sul,2021,81706,3035,78672,36841,3600,14348,23882,RS
Ivorá,2021,71910,1734,70176,41548,2311,9838,16479,RS
Ivoti,2021,1180383,188106,992277,12454,301034,538472,140316,RS
Jaboticaba,2021,136729,6083,130646,63649,4741,35795,26461,RS
Jacuizinho,2021,224026,4535,219491,164173,5454,26934,22930,RS
Jacutinga,2021,232300,16295,216005,114478,14831,60350,26345,RS
Jaguarão,2021,1059392,62513,996879,475652,42338,332571,146319,RS
Jaguari,2021,378018,25805,352213,124483,27616,136531,63583,RS
Jaquirana,2021,94041,5447,88594,36157,6380,22163,23894,RS
Jari,2021,469005,6703,462302,377841,11496,46621,26344,RS
Jóia,2021,975407,30177,945230,709902,23080,152744,59504,RS
Júlio de Castilhos,2021,1925171,234601,1690570,741245,55762,770552,123011,RS
Lagoa Bonita do Sul,2021,68915,2385,66530,32861,2739,9193,21737,RS
Lagoão,2021,154689,4432,150257,84630,3921,22374,39333,RS
Lagoa dos Três Cantos,2021,157139,7112,150027,97987,4454,30410,17176,RS
Lagoa Vermelha,2021,1513400,145083,1368317,402253,272241,542867,150956,RS
Lajeado,2021,5596169,959741,4636428,25702,1374061,2761479,475185,RS
Lajeado do Bugre,2021,74874,2621,72253,35159,5288,10851,20954,RS
Lavras do Sul,2021,497626,16229,481397,319049,12786,91111,58451,RS
Liberato Salzano,2021,172442,8893,163549,88838,7007,37321,30383,RS
Lindolfo Collor,2021,365848,35741,330107,7993,220582,63317,38214,RS
Linha Nova,2021,65579,1737,63842,38086,3032,8218,14505,RS
Machadinho,2021,272823,16993,255829,123141,12848,80884,38957,RS
Maçambará,2021,582041,13938,568103,445452,16905,66429,39317,RS
Mampituba,2021,70213,2180,68033,28644,4263,11759,23367,RS
Manoel Viana,2021,546970,16344,530626,369994,17095,90880,52658,RS
Maquiné,2021,190483,13735,176747,36972,34598,62270,42908,RS
Maratá,2021,80816,3456,77360,34016,4254,16322,22768,RS
Marau,2021,3060013,424125,2635889,398072,982152,985663,270001,RS
Marcelino Ramos,2021,167824,10802,157022,55058,16950,54122,30891,RS
Mariana Pimentel,2021,104495,5202,99293,47538,2701,20193,28862,RS
Mariano Moro,2021,72887,3374,69513,33820,4087,13185,18421,RS
Marques de Souza,2021,124134,10293,113841,44743,9400,33053,26644,RS
Mata,2021,169005,13417,155589,62877,14224,47467,31020,RS
Mato Castelhano,2021,168254,10180,158073,92071,4277,38930,22795,RS
Mato Leitão,2021,180535,16647,163889,38710,46484,43432,35263,RS
Mato Queimado,2021,88446,2165,86280,56533,2399,11894,15454,RS
Maximiliano de Almeida,2021,161122,8471,152651,67400,14018,42502,28731,RS
Minas do Leão,2021,279176,36211,242965,99414,12178,80398,50975,RS
Miraguaí,2021,190385,17931,172454,61065,33760,45073,32555,RS
Montauri,2021,98137,9248,88889,53648,7553,13424,14264,RS
Monte Alegre dos Campos,2021,109729,2578,107151,60996,3321,15267,27567,RS
Monte Belo do Sul,2021,94434,8653,85781,30045,18665,16187,20883,RS
Montenegro,2021,5752330,1136444,4615886,130558,2376131,1700793,408404,RS
Mormaço,2021,153333,11933,141400,69723,4160,43619,23898,RS
Morrinhos do Sul,2021,81465,3810,77655,33149,3620,17330,23555,RS
Morro Redondo,2021,132443,12682,119761,26386,14466,36616,42293,RS
Morro Reuter,2021,274166,27272,246894,46513,88453,71027,40900,RS
Mostardas,2021,643323,29340,613983,348815,38140,147719,79309,RS
Muçum,2021,301851,26389,275462,30773,134584,77631,32474,RS
Muitos Capões,2021,1122084,66009,1056075,677494,180344,168323,29914,RS
Muliterno,2021,91988,2140,89848,58337,2700,12059,16753,RS
Não-Me-Toque,2021,2207531,349118,1858412,214105,907580,622860,113866,RS
Nicolau Vergueiro,2021,146251,9024,137227,83655,3286,32920,17365,RS
Nonoai,2021,525504,62386,463119,129571,31826,231881,69841,RS
Nova Alvorada,2021,236574,38195,198379,84527,12326,73776,27750,RS
Nova Araçá,2021,327225,46283,280942,62894,107503,79823,30722,RS
Nova Bassano,2021,802206,63257,738949,135480,400424,145876,57169,RS
Nova Boa Vista,2021,145342,15102,130240,55103,27608,31340,16188,RS
Nova Bréscia,2021,141143,10062,131082,60100,16171,30521,24290,RS
Nova Candelária,2021,229430,24906,204524,87287,58652,37000,21585,RS
Nova Esperança do Sul,2021,172365,14886,157479,39991,35830,47678,33980,RS
Nova Hartz,2021,805694,71726,733968,3903,416575,189503,123987,RS
Nova Pádua,2021,100211,9696,90515,37257,13694,21632,17932,RS
Nova Palma,2021,382687,28621,354066,105605,87139,118831,42492,RS
Nova Petrópolis,2021,972684,163577,809107,57426,200432,415780,135468,RS
Nova Prata,2021,1730037,271197,1458839,94572,597217,589994,177056,RS
Nova Ramada,2021,304677,24014,280663,160982,34708,64640,20332,RS
Nova Roma do Sul,2021,169304,17695,151609,45506,40091,37190,28822,RS
Nova Santa Rita,2021,2487515,763678,1723836,40368,615230,866889,201349,RS
Novo Cabrais,2021,133170,4852,128318,68698,6485,23257,29877,RS
Novo Hamburgo,2021,10037889,1358672,8679217,28060,2274985,5086524,1289647,RS
Novo Machado,2021,186353,8138,178215,111829,4556,35026,26805,RS
Novo Tiradentes,2021,74728,2854,71874,39001,1546,13684,17642,RS
Novo Xingu,2021,75033,2778,72254,39697,2606,13183,16768,RS
Novo Barreiro,2021,135199,7362,127837,56439,8135,33503,29759,RS
Osório,2021,1819024,171264,1647760,62369,252178,999380,333834,RS
Paim Filho,2021,167644,11217,156427,76430,9641,43672,26683,RS
Palmares do Sul,2021,735603,42837,692767,171623,266750,177309,77084,RS
Palmeira das Missões,2021,2215050,176138,2038911,980810,82280,772012,203809,RS
Palmitinho,2021,271641,17199,254442,82356,42592,81138,48357,RS
Panambi,2021,3167743,382557,2785186,263177,1330220,929972,261816,RS
Pantano Grande,2021,533687,41749,491938,180370,103903,146544,61120,RS
Paraí,2021,424445,64156,360289,82993,112018,119138,46141,RS
Paraíso do Sul,2021,207384,11732,195652,87615,6396,56385,45256,RS
Pareci Novo,2021,136434,15288,121146,37733,9819,44875,28719,RS
Parobé,2021,1390312,126121,1264191,6234,383042,563795,311120,RS
Passa Sete,2021,132982,4419,128564,70066,3656,20410,34431,RS
Passo do Sobrado,2021,229640,18539,211101,97046,26115,44827,43113,RS
Passo Fundo,2021,12552833,1973424,10579408,329161,1433974,7675065,1141208,RS
Paulo Bento,2021,195869,18149,177720,66393,61249,29248,20830,RS
Paverama,2021,242456,20932,221524,63293,57713,51681,48838,RS
Pedras Altas,2021,386189,6997,379191,306315,9382,40636,22858,RS
Pedro Osório,2021,270650,10288,260362,139067,12283,65305,43707,RS
Pejuçara,2021,464211,18799,445412,304802,13124,96259,31227,RS
Pelotas,2021,10778119,1211627,9566492,434024,1319876,5896017,1916575,RS
Picada Café,2021,386451,59410,327042,16997,184984,84104,40957,RS
Pinhal,2021,123341,8455,114886,54475,15905,22656,21850,RS
Pinhal da Serra,2021,304723,24418,280305,84947,147784,21729,25846,RS
Pinhal Grande,2021,931832,14906,916926,164251,654427,61969,36278,RS
Pinheirinho do Vale,2021,131547,4201,127346,65037,7035,21482,33792,RS
Pinheiro Machado,2021,397723,25946,371777,111162,76850,110610,73155,RS
Pinto Bandeira,2021,74285,8968,65316,21671,7831,15656,20159,RS
Pirapó,2021,94670,2659,92011,54201,1949,15563,20299,RS
Piratini,2021,880273,32280,847993,518081,47488,158181,124242,RS
Planalto,2021,252506,20043,232463,50624,32545,89005,60290,RS
Poço das Antas,2021,131756,14350,117406,30989,42236,26067,18114,RS
Pontão,2021,403316,12809,390507,284899,11537,61232,32840,RS
Ponte Preta,2021,96048,4813,91235,58572,3403,13963,15297,RS
Portão,2021,1662398,269973,1392425,54304,596854,538540,202728,RS
Porto Alegre,2021,81562848,12161026,69401822,36860,6584091,54872499,7908373,RS
Porto Lucena,2021,135661,5530,130131,58768,3437,38774,29151,RS
Porto Mauá,2021,89349,4663,84686,44034,1950,20167,18536,RS
Porto Vera Cruz,2021,45211,1350,43861,22095,895,7466,13405,RS
Porto Xavier,2021,210925,16850,194075,37565,9214,85068,62228,RS
Pouso Novo,2021,61419,2890,58529,25753,2617,15434,14725,RS
Presidente Lucena,2021,213812,27511,186301,16630,106418,42038,21215,RS
Progresso,2021,166516,6751,159765,72788,9272,40016,37689,RS
Protásio Alves,2021,93263,4421,88841,51781,8702,12457,15901,RS
Putinga,2021,133442,7232,126209,61639,11236,28620,24714,RS
Quaraí,2021,625749,40859,584890,201581,25408,234117,123784,RS
Quatro Irmãos,2021,185962,6742,179220,122342,8272,30121,18486,RS
Quevedos,2021,299302,15580,283723,198235,6706,53345,25437,RS
Quinze de Novembro,2021,255120,12986,242134,142176,15233,54708,30017,RS
Redentora,2021,232903,10761,222142,103317,6119,50361,62345,RS
Relvado,2021,82687,2844,79842,48501,3140,12856,15345,RS
Restinga Sêca,2021,673420,44226,629193,277830,53166,206020,92178,RS
Rio dos Índios,2021,136484,6882,129603,75282,3847,27259,23215,RS
Rio Grande,2021,13282154,2228562,11053592,440806,4237227,5052629,1322930,RS
Rio Pardo,2021,1390518,84378,1306139,571617,106576,405449,222498,RS
Riozinho,2021,155848,16606,139242,7066,64500,36461,31215,RS
Roca Sales,2021,576081,46875,529207,78996,257697,125811,66703,RS
Rodeio Bonito,2021,279278,50726,228552,79225,21891,86621,40815,RS
Rolador,2021,161912,4529,157383,109714,3582,21606,22481,RS
Rolante,2021,731607,92810,638797,27747,223350,263319,124382,RS
Ronda Alta,2021,471552,31150,440401,201777,17613,161711,59301,RS
Rondinha,2021,268873,14834,254039,139558,7479,70575,36427,RS
Roque Gonzales,2021,437025,13594,423431,105671,210361,66231,41168,RS
Rosário do Sul,2021,1381969,100550,1281419,507512,60427,498668,214813,RS
Sagrada Família,2021,82615,3628,78987,38776,2647,17594,19970,RS
Saldanha Marinho,2021,254247,15471,238776,145084,5558,66453,21682,RS
Salto do Jacuí,2021,1213455,27379,1186076,204202,772162,128570,81142,RS
Salvador das Missões,2021,178468,16965,161503,66042,18015,55159,22286,RS
Salvador do Sul,2021,337661,41870,295792,73681,72996,102286,46829,RS
Sananduva,2021,843823,107156,736668,214643,108381,320788,92855,RS
Santa Bárbara do Sul,2021,1336027,117786,1218241,703242,52270,404252,58476,RS
Santa Cecília do Sul,2021,143879,2629,141251,105055,3275,16218,16702,RS
Santa Clara do Sul,2021,339105,33560,305545,40527,141859,79170,43989,RS
Santa Cruz do Sul,2021,9815170,2808864,7006307,244597,2071989,3858194,831527,RS
Santa Maria,2021,9562027,1095530,8466497,390982,1097557,5489808,1488150,RS
Santa Maria do Herval,2021,279408,21735,257673,83767,67733,67164,39009,RS
Santa Margarida do Sul,2021,361014,18484,342530,241654,13718,62356,24803,RS
Santana da Boa Vista,2021,364899,8674,356225,236344,10503,56975,52403,RS
Sant'Ana do Livramento,2021,2823913,197977,2625936,639519,455492,1088427,442498,RS
Santa Rosa,2021,3732037,529012,3203025,258499,925505,1562771,456251,RS
Santa Tereza,2021,49850,2609,47241,19685,3582,9796,14178,RS
Santa Vitória do Palmar,2021,1755622,74506,1681116,822390,264676,375763,218287,RS
Santiago,2021,2021444,213402,1808042,425749,107700,1011023,263570,RS
Santo Ângelo,2021,3180262,358211,2822051,332632,469692,1604724,415002,RS
Santo Antônio do Palma,2021,119796,6997,112799,67582,5314,22526,17377,RS
Santo Antônio da Patrulha,2021,1680497,203997,1476500,182190,465688,587256,241366,RS
Santo Antônio das Missões,2021,673944,32029,641915,432306,16959,130644,62006,RS
Santo Antônio do Planalto,2021,189468,13305,176164,97950,21846,32868,23500,RS
Santo Augusto,2021,848436,78378,770059,335207,56338,297949,80565,RS
Santo Cristo,2021,784068,114707,669361,229303,74579,280685,84794,RS
Santo Expedito do Sul,2021,128952,4757,124196,78804,7142,17819,20431,RS
São Borja,2021,2570755,221219,2349536,795875,274240,928201,351220,RS
São Domingos do Sul,2021,123435,7184,116251,46577,23318,23453,22904,RS
São Francisco de Assis,2021,804119,31708,772411,437723,23417,197344,113926,RS
São Francisco de Paula,2021,1026513,64089,962424,475151,92412,261245,133616,RS
São Gabriel,2021,2723183,193677,2529505,1040024,225013,921000,343468,RS
São Jerônimo,2021,667010,52551,614459,102922,83039,295956,132542,RS
São João da Urtiga,2021,184148,15555,168594,77046,5998,56507,29043,RS
São João do Polêsine,2021,104817,9430,95387,22131,10295,43975,18987,RS
São Jorge,2021,133331,6705,126626,69618,11306,24650,21053,RS
São José das Missões,2021,93350,4095,89255,43978,2842,19654,22781,RS
São José do Herval,2021,59112,3527,55585,21945,1774,14688,17178,RS
São José do Hortêncio,2021,117865,11795,106070,19147,25039,31916,29967,RS
São José do Inhacorá,2021,183793,13734,170059,58444,60201,32019,19395,RS
São José do Norte,2021,792698,50981,741717,117293,241974,213838,168612,RS
São José do Ouro,2021,463017,46262,416755,164757,24719,185888,41391,RS
São José do Sul,2021,94018,8363,85655,36730,12292,16810,19823,RS
São José dos Ausentes,2021,155631,5924,149708,73182,13519,35332,27675,RS
São Leopoldo,2021,10855366,2368898,8486468,2470,2557761,4500349,1425888,RS
São Lourenço do Sul,2021,1701063,119216,1581847,654873,111238,562262,253474,RS
São Luiz Gonzaga,2021,1903777,193775,1710002,561193,188430,774791,185588,RS
São Marcos,2021,1145389,191265,954124,48242,409878,374442,121563,RS
São Martinho,2021,354028,30447,323581,144527,27836,115880,35338,RS
São Martinho da Serra,2021,336098,13902,322196,232319,8615,54426,26837,RS
São Miguel das Missões,2021,867928,38154,829774,564984,25771,182818,56200,RS
São Nicolau,2021,228045,8461,219584,130814,6672,44769,37330,RS
São Paulo das Missões,2021,200547,10492,190056,87915,13699,50195,38247,RS
São Pedro da Serra,2021,113227,10434,102793,29124,23684,24306,25679,RS
São Pedro das Missões,2021,114177,7711,106467,55256,2471,27989,20751,RS
São Pedro do Butiá,2021,161663,7524,154139,89212,13584,27501,23842,RS
São Pedro do Sul,2021,532255,39199,493056,168610,45733,182433,96281,RS
São Sebastião do Caí,2021,899457,131419,768038,31530,204863,384946,146700,RS
São Sepé,2021,1331316,96249,1235067,588230,99056,405916,141865,RS
São Valentim,2021,135540,9271,126269,52067,11896,37299,25006,RS
São Valentim do Sul,2021,95575,5516,90060,37286,18640,17227,16906,RS
São Valério do Sul,2021,90429,1519,88910,55412,2365,11523,19610,RS
São Vendelino,2021,95747,13520,82227,8265,33259,22670,18033,RS
São Vicente do Sul,2021,730553,49281,681272,278836,217461,129518,55457,RS
Sapiranga,2021,3615584,418625,3196958,9686,1531903,1187849,467520,RS
Sapucaia do Sul,2021,4204060,554127,3649933,6545,1366829,1455491,821068,RS
Sarandi,2021,1299134,183738,1115396,171575,213644,583685,146492,RS
Seberi,2021,617243,70346,546897,156819,89974,230598,69506,RS
Sede Nova,2021,157534,10148,147386,82627,6573,36574,21613,RS
Segredo,2021,163087,4558,158529,81879,5049,29252,42349,RS
Selbach,2021,375173,42083,333090,152710,39413,107103,33864,RS
Senador Salgado Filho,2021,149058,6768,142290,88836,4533,24903,24019,RS
Sentinela do Sul,2021,136266,9082,127184,50449,17886,25998,32851,RS
Serafina Corrêa,2021,782299,92188,690111,106448,174289,297530,111843,RS
Sério,2021,59571,2734,56836,30780,2618,8229,15210,RS
Sertão,2021,534501,20855,513647,350092,29203,91282,43069,RS
Sertão Santana,2021,314766,49672,265095,43701,58188,123081,40125,RS
Sete de Setembro,2021,105651,2812,102839,66907,3978,13631,18322,RS
Severiano de Almeida,2021,149412,7641,141771,71165,7539,34216,28852,RS
Silveira Martins,2021,86630,4096,82534,39602,4195,18826,19911,RS
Sinimbu,2021,213480,10830,202650,76341,9103,53608,63598,RS
Sobradinho,2021,438641,42339,396302,62845,35675,213708,84074,RS
Soledade,2021,1405191,139651,1265540,383180,186754,519654,175951,RS
Tabaí,2021,142085,6700,135385,67975,8288,25783,33340,RS
Tapejara,2021,1644543,274921,1369622,132150,592961,500710,143800,RS
Tapera,2021,640273,91369,548905,147802,106202,234120,60779,RS
Tapes,2021,603911,30447,573465,268830,50516,160665,93454,RS
Taquara,2021,1568872,160975,1407897,31087,295705,778292,302813,RS
Taquari,2021,1094080,145205,948875,104214,371987,330218,142456,RS
Taquaruçu do Sul,2021,188857,20877,167979,67474,7460,68915,24130,RS
Tavares,2021,124253,6183,118070,44681,3154,34252,35984,RS
Tenente Portela,2021,579213,48397,530816,134996,37447,280478,77895,RS
Terra de Areia,2021,291338,33546,257792,20329,21543,146486,69433,RS
Teutônia,2021,1576004,221057,1354947,117910,445990,584227,206820,RS
Tio Hugo,2021,174783,16555,158227,65149,14830,51230,27018,RS
Tiradentes do Sul,2021,196241,14626,181616,87340,6524,52623,35128,RS
Toropi,2021,101333,5614,95718,45506,2255,26656,21300,RS
Torres,2021,1382097,114080,1268017,49869,169906,796068,252174,RS
Tramandaí,2021,1234544,98252,1136291,16773,113567,671814,334137,RS
Travesseiro,2021,78087,2951,75136,38219,12164,7632,17121,RS
Três Arroios,2021,141196,13166,128030,58790,11257,37427,20556,RS
Três Cachoeiras,2021,308568,37790,270777,29246,27495,151157,62879,RS
Três Coroas,2021,805145,93230,711915,11291,290945,256719,152961,RS
Três de Maio,2021,1353671,187975,1165696,218442,179926,625863,141465,RS
Três Forquilhas,2021,64218,2376,61843,25510,3100,11674,21559,RS
Três Palmeiras,2021,178529,15096,163433,68918,11505,54088,28922,RS
Três Passos,2021,1033028,106539,926490,165138,164114,444841,152397,RS
Trindade do Sul,2021,351369,33249,318120,107356,86868,83911,39985,RS
Triunfo,2021,12982386,2859992,10122394,186213,7196781,2420606,318793,RS
Tucunduva,2021,259330,21146,238184,91248,10976,99462,36499,RS
Tunas,2021,120844,5730,115114,61120,3008,22614,28372,RS
Tupanci do Sul,2021,94727,3160,91567,56294,3614,16290,15370,RS
Tupanciretã,2021,2052009,145986,1906024,1096641,62815,597036,149532,RS
Tupandi,2021,533592,62632,470960,60507,294613,79559,36281,RS
Tuparendi,2021,383533,31406,352127,141235,34282,129732,46878,RS
Turuçu,2021,163726,7920,155806,87414,5126,34061,29206,RS
Ubiretama,2021,110732,3865,106867,69554,1771,17370,18172,RS
União da Serra,2021,91173,2321,88852,62755,2766,10011,13320,RS
Unistalda,2021,149066,3223,145843,101856,3867,19725,20395,RS
Uruguaiana,2021,3717091,300481,3416610,927382,310419,1454885,723923,RS
Vacaria,2021,3245665,349601,2896065,882934,326464,1287633,399034,RS
Vale Verde,2021,130452,5891,124561,66470,8981,22445,26665,RS
Vale do Sol,2021,272712,14365,258347,111975,12127,64925,69321,RS
Vale Real,2021,198293,21139,177153,28472,60634,50655,37392,RS
Vanini,2021,94775,3024,91752,50984,4063,17747,18958,RS
Venâncio Aires,2021,3732030,557870,3174160,279546,1116190,1374331,404093,RS
Vera Cruz,2021,826716,117609,709106,78996,126284,336222,167604,RS
Veranópolis,2021,1738702,295967,1442734,63959,702406,530388,145982,RS
Vespasiano Corrêa,2021,119439,6386,113053,72326,5844,18754,16129,RS
Viadutos,2021,204581,8055,196526,108404,10096,48725,29302,RS
Viamão,2021,4335050,382021,3953029,239233,682027,1744915,1286854,RS
Vicente Dutra,2021,126513,3021,123493,67359,4233,21075,30825,RS
Victor Graeff,2021,295870,19322,276548,160658,23958,67007,24925,RS
Vila Flores,2021,297552,38804,258748,53069,124030,56045,25604,RS
Vila Lângaro,2021,168931,10096,158835,96347,11929,29614,20946,RS
Vila Maria,2021,389405,51918,337488,142343,77707,87428,30010,RS
Vila Nova do Sul,2021,195941,9808,186134,97360,22738,34997,31040,RS
Vista Alegre,2021,137063,9634,127429,66668,6775,31375,22612,RS
Vista Alegre do Prata,2021,85228,5948,79280,43156,3168,16574,16381,RS
Vista Gaúcha,2021,103512,5107,98405,52502,3346,22084,20474,RS
Vitória das Missões,2021,159527,11694,147833,90826,6333,27260,23413,RS
Westfália,2021,264839,34752,230086,70247,81692,51828,26320,RS
Xangri-lá,2021,733151,69891,663259,4233,93835,388914,176277,RS
Água Clara,2021,1235229,112327,1122902,437795,336782,209086,139239,MS
Alcinópolis,2021,237740,15331,222409,123964,8949,35558,53939,MS
Amambai,2021,1766207,214763,1551444,575059,110508,579711,286166,MS
Anastácio,2021,696967,65757,631210,141825,109527,212307,167551,MS
Anaurilândia,2021,416841,29240,387601,204618,25509,83717,73757,MS
Angélica,2021,1184828,53290,1131538,444216,459652,143577,84092,MS
Antônio João,2021,727455,117081,610374,247294,20432,275463,67185,MS
Aparecida do Taboado,2021,1393783,150473,1243310,278535,455866,333834,175075,MS
Aquidauana,2021,1204977,115415,1089562,226683,95916,449634,317329,MS
Aral Moreira,2021,1021642,98794,922848,577099,40555,207884,97309,MS
Bandeirantes,2021,759094,54006,705088,497303,27938,111790,68057,MS
Bataguassu,2021,1049030,122991,926039,85011,355537,315939,169551,MS
Batayporã,2021,603207,39545,563662,250906,125702,102562,84492,MS
Bela Vista,2021,976922,68821,908101,314007,193825,221066,179203,MS
Bodoquena,2021,351966,34249,317717,81005,99053,69992,67668,MS
Bonito,2021,1204313,132020,1072294,392626,84194,433573,161901,MS
Brasilândia,2021,861259,48440,812819,585629,23784,108300,95106,MS
Caarapó,2021,2098085,225988,1872098,724827,370362,550048,226862,MS
Camapuã,2021,637046,54632,582414,293526,26802,162235,99851,MS
Campo Grande,2021,34731151,5325159,29405992,817072,4351111,17538622,6699187,MS
Caracol,2021,179621,9044,170577,94656,5363,23019,47540,MS
Cassilândia,2021,782983,80729,702254,163062,116621,274843,147728,MS
Chapadão do Sul,2021,2430147,284770,2145376,928310,158007,831057,228002,MS
Corguinho,2021,150318,8426,141891,62694,6061,26590,46546,MS
Coronel Sapucaia,2021,354012,22588,331424,141260,17485,67691,104987,MS
Corumbá,2021,3907866,325814,3582052,552127,899685,1213963,916277,MS
Costa Rica,2021,2096742,152045,1944698,1105812,257913,407391,173582,MS
Coxim,2021,1117659,113839,1003820,231015,81336,451934,239534,MS
Deodápolis,2021,494378,46501,447877,166400,46075,142689,92713,MS
Dois Irmãos do Buriti,2021,332159,21176,310983,131333,25391,65565,88694,MS
Douradina,2021,200982,15124,185858,80041,7244,52124,46449,MS
Dourados,2021,12595690,1808462,10787227,1094473,1937059,6082793,1672903,MS
Eldorado,2021,557523,56465,501058,176774,88970,142175,93140,MS
Fátima do Sul,2021,648925,72471,576453,91262,106929,247582,130681,MS
Figueirão,2021,143408,8573,134835,79301,4559,19130,31844,MS
Glória de Dourados,2021,306052,21975,284077,111024,25043,81424,66585,MS
Guia Lopes da Laguna,2021,364269,27645,336623,143262,39427,85350,68584,MS
Iguatemi,2021,811297,63835,747462,392061,87606,152934,114860,MS
Inocência,2021,406233,28930,377302,195214,30259,80201,71629,MS
Itaporã,2021,1181095,152528,1028567,406843,78394,376173,167157,MS
Itaquiraí,2021,1245196,108512,1136684,515009,227866,249681,144129,MS
Ivinhema,2021,1721113,121128,1599985,649498,417002,367223,166263,MS
Japorã,2021,167493,6792,160701,66159,5599,20730,68214,MS
Jaraguari,2021,378029,26197,351832,228391,17401,51850,54190,MS
Jardim,2021,826472,103162,723310,144956,48847,340483,189023,MS
Jateí,2021,478439,24289,454150,338630,24103,44808,46609,MS
Juti,2021,464266,27508,436758,300467,23538,61001,51752,MS
Ladário,2021,383759,32187,351572,10073,28499,151357,161644,MS
Laguna Carapã,2021,1017180,91901,925279,638470,33138,188029,65641,MS
Maracaju,2021,4048673,539832,3508841,1611912,199643,1356099,341187,MS
Miranda,2021,661176,51954,609222,147166,54701,208614,198741,MS
Mundo Novo,2021,778607,179343,599265,69123,148655,249237,132250,MS
Naviraí,2021,3013280,304220,2709060,661576,727018,902176,418290,MS
Nioaque,2021,472626,34530,438096,150217,82011,103878,101990,MS
